id,title,book_id,author,tier,tier_code,reads,log_reads,nchars,bytes,file,fully_matched,ambiguous,resolve_note,ledger_idx
021,报备型男友发糊照后，跪求我回头,,,无信号,,,,10943,31339,报备型男友发糊照后，跪求我回头.txt,False,False,,
022,碑上不见旧时名,,,小扑,2,999,6.9068,13417,38367,碑上不见旧时名.txt,True,False,,
023,北京大妞竟是走丢真千金，教我规矩我反手掀桌,,,C,3,1005,6.9127,12881,34077,北京大妞竟是走丢真千金，教我规矩我反手掀桌.txt,True,False,,
024,被拒盖实习章，她离婚怒嫁前夫对手,,,无信号,,,,26696,76856,被拒盖实习章，她离婚怒嫁前夫对手.txt,False,False,,
025,被困笼的飞鸟，终得解脱,,,无信号,,,,12858,37232,被困笼的飞鸟，终得解脱 .txt,False,False,,
026,被阎王退货后，我开摆了,,,C,3,1033,6.9402,14066,40736,被阎王退货后，我开摆了.txt,True,False,,
027,被遗忘的第四人,,,B,4,9863,9.1965,11325,32833,被遗忘的第四人.txt,True,False,,
028,逼我上交工资？可我们早离了啊,,,小扑,2,973,6.8804,12945,37876,逼我上交工资？可我们早离了啊.txt,True,False,,
029,变成娃娃后，全家追悔莫及,,,无信号,,,,10784,31320,变成娃娃后，全家追悔莫及.txt,False,False,,
030,标兵室友没收我急救药，重生后我送她进派出所,,,C,3,1051,6.9575,9980,28820,标兵室友没收我急救药，重生后我送她进派出所.txt,True,False,,
031,表舅让我赔表弟医药费，可我根本没见过他,,,C,3,1010,6.9177,12147,35275,表舅让我赔表弟医药费，可我根本没见过他.txt,True,False,,
032,别跟逻辑怪讲人情，我专治各种不服,,,小扑,2,956,6.8628,11960,34534,别跟逻辑怪讲人情，我专治各种不服.txt,True,False,,
033,别人忙着答辩我忙着吐，检查结果竟是双胞胎！,,,C,3,1001,6.9088,44977,117763,别人忙着答辩我忙着吐，检查结果竟是双胞胎！.txt,True,False,,
034,别说我嫉妒假千金！被八个大佬舅舅团宠的我只想跟美人贴贴,,,小扑,2,968,6.8752,12714,36494,别说我嫉妒假千金！被八个大佬舅舅团宠的我只想跟美人贴贴.txt,True,False,,
035,不帮同事保管报销单后，污蔑我偷发票的实习生悔疯了,,,小扑,2,968,6.8752,10587,30587,不帮同事保管报销单后，污蔑我偷发票的实习生悔疯了.txt,True,False,,
036,不帮同学保管书包，污蔑我偷班费的转校生悔疯了,,,无信号,,,,15187,39635,不帮同学保管书包，污蔑我偷班费的转校生悔疯了.txt,False,False,,
037,部门聚餐，实习生说他工资是我两倍,,,C,3,1037,6.9441,15562,44328,部门聚餐，实习生说他工资是我两倍.txt,True,False,,
038,彩票中了5000万，妻子却让我装穷鬼,,,C,3,1027,6.9344,35057,100271,彩票中了5000万，妻子却让我装穷鬼.txt,True,False,,
039,残诗煮酒月难圆,,,无信号,,,,9760,28078,残诗煮酒月难圆.txt,False,False,,
040,曾为你画地为牢,,,小扑,2,963,6.8701,21507,62486,曾为你画地为牢.txt,True,False,,
041,朝来一去关山隔,,,无信号,,,,11133,32710,朝来一去关山隔.txt,False,False,,
042,朝曦不借晚星光,,,C,3,1042,6.9489,15271,43878,朝曦不借晚星光.txt,True,False,,
043,尘缘起落自安然,,,无信号,,,,11369,33163,尘缘起落自安然.txt,False,False,,
044,趁春游换走首富孩子？一个电话直接封锁海陆空,,,无信号,,,,9246,25741,趁春游换走首富孩子？一个电话直接封锁海陆空.txt,False,False,,
045,趁我出差，丈夫卖别墅带全家移民，我杀疯了,,,小扑,2,958,6.8648,13327,35943,趁我出差，丈夫卖别墅带全家移民，我杀疯了.txt,True,False,,
046,成为省状元的升学宴上，我妈报警抓了我,,,C,3,1242,7.1245,10700,31584,成为省状元的升学宴上，我妈报警抓了我.txt,True,False,,
047,成为太监后，我杀疯了,,,C,3,1012,6.9197,12020,35118,成为太监后，我杀疯了.txt,True,False,,
048,成为植物人后，听到老公的心里话，我重生了,,,C,3,1027,6.9344,12245,35143,成为植物人后，听到老公的心里话，我重生了.txt,True,False,,
049,迟爱无用，风月新程,,,无信号,,,,26289,76695,迟爱无用，风月新程.txt,False,False,,
050,迟来的爱，追不上三千二百公里,,,无信号,,,,11968,35134,迟来的爱，追不上三千二百公里.txt,False,False,,
051,迟来的三千元，耗光我的深情,,,无信号,,,,11263,33383,迟来的三千元，耗光我的深情.txt,False,False,,
052,迟遇无春,,,无信号,,,,10902,31807,迟遇无春.txt,False,False,,
053,出狱后，为给小助理出气亲手送我进监狱的未婚妻悔疯了,,,无信号,,,,10234,29530,出狱后，为给小助理出气亲手送我进监狱的未婚妻悔疯了.txt,False,False,,
054,穿不上的婚纱，我不穿了,,,C,3,1036,6.9431,13983,38183,穿不上的婚纱，我不穿了.txt,True,False,,
055,穿书成作精，弹幕预知我是炮灰，收敛脾气后，冰山父子满心满眼只有我,,,无信号,,,,17489,51396,穿书成作精，弹幕预知我是炮灰，收敛脾气后，冰山父子满心满眼只有我.txt,False,False,,
056,穿拖鞋去相亲，京城第一美人不让我走,,,C,3,1034,6.9412,35310,100138,穿拖鞋去相亲，京城第一美人不让我走.txt,True,False,,
057,穿越成虐文男主，面对高冷老婆提离婚，我狂喜签字,,,小扑,2,982,6.8896,13125,34014,穿越成虐文男主，面对高冷老婆提离婚，我狂喜签字.txt,True,False,,
058,春潮带雨晚来急，我欲与君绝,,,无信号,,,,10057,29656,春潮带雨晚来急，我欲与君绝.txt,False,False,,
059,春情雾散负韶光,,,无信号,,,,9603,28078,春情雾散负韶光.txt,False,False,,
060,此程落幕，前路繁花,,,无信号,,,,11547,33517,此程落幕，前路繁花.txt,False,False,,
061,此生也算等过你,,,C,3,1018,6.9256,10403,30237,此生也算等过你.txt,True,False,,
062,从此山海，再无归期,,,无信号,,,,10983,30125,从此山海，再无归期.txt,False,False,,
063,从此山水各一程,,,小扑,2,998,6.9058,11187,32847,从此山水各一程.txt,True,False,,
064,从此我为灯，不必借天光,,,无信号,,,,11199,30771,从此我为灯，不必借天光.txt,False,False,,
065,从此无心爱与恨,,,B,4,6476,8.7759,11864,35042,从此无心爱与恨.txt,True,False,,
066,从此昭昭明月，再无箭女,,,无信号,,,,10964,31859,从此昭昭明月，再无箭女.txt,False,False,,
067,从阳台隔间到二十二楼，我用了一张火车票的距离,,,无信号,,,,10329,29389,从阳台隔间到二十二楼，我用了一张火车票的距离.txt,False,False,,
068,错遇一程误半生,,,无信号,,,,10043,28899,错遇一程误半生.txt,False,False,,
069,打错彩票后，表姐让我赔一百万,,,C,3,1307,7.1755,10313,28529,打错彩票后，表姐让我赔一百万.txt,True,False,,
070,打赌我不敢退婚？我退群后他悔疯了,,,小扑,2,959,6.8659,11202,32750,打赌我不敢退婚？我退群后他悔疯了.txt,True,False,,
071,大姑姐拖家八口避暑，我直接交手机进修让老公接待,,,A,5,11619,9.3604,41627,108801,大姑姐拖家八口避暑，我直接交手机进修让老公接待.txt,True,False,,
072,大姑姐问我要九十九万陪嫁，我让她滚,,,C,3,1004,6.9117,9816,28756,大姑姐问我要九十九万陪嫁，我让她滚.txt,True,False,,
073,弹幕让我斗表姐，我把她捧成活靶子,,,A,5,20535,9.9299,37153,99087,弹幕让我斗表姐，我把她捧成活靶子.txt,True,False,,
074,弹幕说老公今晚要杀妻！,,,无信号,,,,10587,29219,弹幕说老公今晚要杀妻！.txt,False,False,,
075,弹幕说男朋友拿我身份网恋骗人百万，我直接让他跪着求饶,,,C,3,1000,6.9078,14350,37742,弹幕说男朋友拿我身份网恋骗人百万，我直接让他跪着求饶.txt,True,False,,
076,弹幕说他绝嗣命，我只想让他平摊手术费,,,无信号,,,,27926,72282,弹幕说他绝嗣命，我只想让他平摊手术费.txt,False,False,,
077,弹幕预警后，我主动举报自己携带违禁品,,,无信号,,,,11131,28695,弹幕预警后，我主动举报自己携带违禁品.txt,False,False,,
078,当爱意凋零,,,无信号,,,,10517,30993,当爱意凋零.txt,False,False,,
079,当东北真千金遇上自闭症假千金,,,小扑,2,991,6.8987,12129,31167,当东北真千金遇上自闭症假千金.txt,True,False,,
080,当红小花抱着影帝家的狗子装它妈，那我是谁？,,,C,3,1036,6.9431,11106,32400,当红小花抱着影帝家的狗子装它妈，那我是谁？.txt,True,False,,
081,当然了游戏后，我成全了老公和女兄弟,,,无信号,,,,10517,30581,当然了游戏后，我成全了老公和女兄弟.txt,False,False,,
082,灯火未央，君已离席,,,小扑,2,982,6.8896,5401,15483,灯火未央，君已离席.txt,True,False,,
083,灯灭一次，不为旧人亮,,,B,4,4184,8.339,13086,37708,灯灭一次，不为旧人亮.txt,True,False,,
084,等不到第八日,,,无信号,,,,11777,33865,等不到第八日.txt,False,False,,
085,等待到荒芜时剧终人散,,,无信号,,,,10670,31357,等待到荒芜时剧终人散.txt,False,False,,
086,等烟火散尽，我也走远,,,C,3,1045,6.9518,10621,30397,等烟火散尽，我也走远.txt,True,False,,
087,等一场永昼长明,,,无信号,,,,9628,27756,等一场永昼长明.txt,False,False,,
088,低于五位数的转账，到底该怎么花啊,,,小扑,2,960,6.8669,17918,52484,低于五位数的转账，到底该怎么花啊.txt,True,False,,
089,弟弟满月酒当天，我家破人亡,,,小扑,2,997,6.9048,14169,41530,弟弟满月酒当天，我家破人亡.txt,True,False,,
090,弟弟确诊自闭症那天，我再也没有妈妈了,,,B,4,9425,9.1511,12745,33159,弟弟确诊自闭症那天，我再也没有妈妈了.txt,True,False,,
091,第八次领证失败后，我换人结婚了,,,C,3,1282,7.1562,27358,68536,第八次领证失败后，我换人结婚了.txt,True,False,,
092,东风解我意，风止意难平,,,小扑,2,990,6.8977,10760,30930,东风解我意，风止意难平.txt,True,False,,
093,峒寨莺声，穿林渡翠微,,,B,4,5719,8.6515,23414,68070,峒寨莺声，穿林渡翠微.txt,True,False,,
094,儿子被诬陷偷窃开除，我把污蔑者告到痛哭流涕,,,小扑,2,999,6.9068,11186,32202,儿子被诬陷偷窃开除，我把污蔑者告到痛哭流涕.txt,True,False,,
095,儿子非要把前夫接来吃饭，我一气跟儿子断绝母子情,,,小扑,2,979,6.8865,14378,42427,儿子非要把前夫接来吃饭，我一气跟儿子断绝母子情.txt,True,False,,
096,二十年前她害我入贱籍，二十年后我亲点她女儿和亲,,,无信号,,,,11848,34686,二十年前她害我入贱籍，二十年后我亲点她女儿和亲.txt,False,False,,
097,番塔年年燃，离别岁岁长,,,无信号,,,,12019,35414,番塔年年燃，离别岁岁长.txt,False,False,,
098,反方向的钟永远拨不回正,,,无信号,,,,10755,30711,反方向的钟永远拨不回正.txt,False,False,,
099,飞鸟已乘风，不候迟来人,,,小扑,2,990,6.8977,11769,34351,飞鸟已乘风，不候迟来人.txt,True,False,,
100,飞霜冷透七夕情,,,无信号,,,,11905,33311,飞霜冷透七夕情.txt,False,False,,
101,废蕾丝与旧银链,,,小扑,2,990,6.8977,11084,31742,废蕾丝与旧银链.txt,True,False,,
102,分手后，前男友的替身们对我一见钟情,,,B,4,4059,8.3087,12130,35142,分手后，前男友的替身们对我一见钟情.txt,True,False,,
103,分手后，我取消了前女友87项自动代付功能,,,S,6,264194,12.4844,16023,40869,分手后，我取消了前女友87项自动代付功能.txt,True,False,,
104,分手后我让共友闺蜜二选一，她走向了男友,,,无信号,,,,10853,31677,分手后我让共友闺蜜二选一，她走向了男友.txt,False,False,,
105,风吹过空白的素描本,,,C,3,1010,6.9177,13678,40110,风吹过空白的素描本.txt,True,False,,
106,风吹银铃，再无明远,,,小扑,2,978,6.8855,11991,34819,风吹银铃，再无明远.txt,True,False,,
107,风过寒凉，唯余旧梦碎,,,小扑,2,968,6.8752,13616,36564,风过寒凉，唯余旧梦碎.txt,True,False,,
108,风景都看完，不必说错过,,,无信号,,,,11652,34266,风景都看完，不必说错过.txt,False,False,,
109,风来的那天，我退出了三人群,,,小扑,2,966,6.8732,13342,38568,风来的那天，我退出了三人群.txt,True,False,,
110,风没来，你也没来,,,无信号,,,,33492,98791,风没来，你也没来.txt,False,False,,
111,风起时她不再回头,,,无信号,,,,1256,3684,风起时她不再回头.txt,False,False,,
112,风雪葬尽当年意,,,小扑,2,994,6.9017,14409,41397,风雪葬尽当年意.txt,True,False,,
113,风雨无你终别离,,,C,3,1016,6.9236,10822,30816,风雨无你终别离.txt,True,False,,
114,夫君火烧我后院，我反手抄他私藏的龙袍,,,C,3,1027,6.9344,14334,41752,夫君火烧我后院，我反手抄他私藏的龙袍.txt,True,False,,
115,夫君装脸盲娶走嫡姐后，我换嫁摄政王,,,C,3,2358,7.7656,12135,33857,夫君装脸盲娶走嫡姐后，我换嫁摄政王.txt,True,False,,
116,浮梦散尽，从此山水不相逢,,,小扑,2,959,6.8659,12444,36798,浮梦散尽，从此山水不相逢.txt,True,False,,
117,浮生皆过客，我自踏长风,,,C,3,1049,6.9556,11832,34898,浮生皆过客，我自踏长风.txt,True,False,,
118,浮生一戏，终是离人,,,无信号,,,,21933,64888,浮生一戏，终是离人.txt,False,False,,
119,浮生自有清风渡,,,C,3,1035,6.9422,27254,80648,浮生自有清风渡.txt,True,False,,
120,父亲出殡，丈夫为青梅误吉时，我扶灵上山就离婚,,,小扑,2,950,6.8565,11615,31993,父亲出殡，丈夫为青梅误吉时，我扶灵上山就离婚.txt,True,False,,
121,富士山的雪，落不进我房间的窗,,,小扑,2,971,6.8783,13866,39294,富士山的雪，落不进我房间的窗.txt,True,False,,
122,干女儿让我立下遗嘱，才能怀孕生自己的孩子,,,C,3,1045,6.9518,11101,32535,干女儿让我立下遗嘱，才能怀孕生自己的孩子.txt,True,False,,
123,刚被新院长贬职，回家他竟成了我的相亲对象,,,小扑,2,994,6.9017,28947,83765,刚被新院长贬职，回家他竟成了我的相亲对象.txt,True,False,,
124,刚怀孕老公贷款500万给婆婆买大平层，我也给我妈买！,,,小扑,2,961,6.868,12293,32897,刚怀孕老公贷款500万给婆婆买大平层，我也给我妈买！.txt,True,False,,
125,高考报考院校以彩礼为基准,,,C,3,1006,6.9137,16961,44773,高考报考院校以彩礼为基准.txt,True,False,,
126,高考出分当天，我让假千金全家跪在我妈墓碑前道歉,,,C,3,1013,6.9207,11805,31727,高考出分当天，我让假千金全家跪在我妈墓碑前道歉.txt,True,False,,
127,高考出分后，嫂子要加彩礼,,,C,3,1028,6.9354,10894,30126,高考出分后，嫂子要加彩礼.txt,True,False,,
128,高考分数屏蔽后，妈妈却为情夫儿子逼我落榜,,,小扑,2,960,6.8669,22054,64439,高考分数屏蔽后，妈妈却为情夫儿子逼我落榜.txt,True,False,,
129,高考结束后，女儿说她陪我演了三年,,,C,3,1005,6.9127,11675,33835,高考结束后，女儿说她陪我演了三年.txt,True,False,,
130,哥哥的肾和他的白月光，重生后我选择两个都不救,,,C,3,1765,7.4759,16632,43324,哥哥的肾和他的白月光，重生后我选择两个都不救.txt,True,False,,
131,搁浅在岸边的期许,,,小扑,2,989,6.8967,12681,35481,搁浅在岸边的期许.txt,True,False,,
132,各给52万留学，8年后继子博士归来亲儿拎破箱，我傻了,,,A,5,18498,9.8254,33906,89876,各给52万留学，8年后继子博士归来亲儿拎破箱，我傻了.txt,True,False,,
133,给你的爱停在红灯前,,,无信号,,,,11228,32504,给你的爱停在红灯前.txt,False,False,,
134,给婆婆养老7年她说我是好儿媳，却偷偷把金条给弟媳,,,小扑,2,998,6.9058,11639,31451,给婆婆养老7年她说我是好儿媳，却偷偷把金条给弟媳.txt,True,False,,
135,根扎对了才开花,,,无信号,,,,12247,35277,根扎对了才开花 .txt,False,False,,
136,公公踢我出家族群骂我外人，我反手讨债87万，全家慌了,,,小扑,2,972,6.8794,15827,42577,公公踢我出家族群骂我外人，我反手讨债87万，全家慌了.txt,True,False,,
137,公平和偏爱，都不属于我,,,无信号,,,,9544,27748,公平和偏爱，都不属于我.txt,False,False,,
138,公司同事让我给一折买房优惠，到了售楼处后傻眼了,,,C,3,1034,6.9412,11955,33109,公司同事让我给一折买房优惠，到了售楼处后傻眼了.txt,True,False,,
139,攻略结束后，他们悔疯了,,,C,3,1035,6.9422,11704,33478,攻略结束后，他们悔疯了.txt,True,False,,
140,狗仔重生后，锤爆豪门,,,小扑,2,961,6.868,12315,35415,狗仔重生后，锤爆豪门.txt,True,False,,
141,姑姑污蔑我偷了五金后，我直接承认,,,无信号,,,,11061,32633,姑姑污蔑我偷了五金后，我直接承认.txt,False,False,,
142,姑丈盖章跑九趟没办成？我一个电话领导跪满大厅,,,无信号,,,,16610,47936,姑丈盖章跑九趟没办成？我一个电话领导跪满大厅.txt,False,False,,
143,关门那一刻，哥哥女友换了张脸,,,C,3,1341,7.2012,15621,39841,关门那一刻，哥哥女友换了张脸.txt,True,False,,
144,关山雪尽不见故人,,,C,3,1048,6.9546,13829,34939,关山雪尽不见故人.txt,True,False,,
145,归来后发现她怀孕，好兄弟竟在视频里对我笑,,,C,3,1017,6.9246,33700,91636,归来后发现她怀孕，好兄弟竟在视频里对我笑.txt,True,False,,
146,归去来兮无旧人,,,C,3,1032,6.9393,13140,38014,归去来兮无旧人.txt,True,False,,
147,闺蜜绑定高考分数转移系统后，我反手让她出尽风头,,,小扑,2,992,6.8997,13775,36615,闺蜜绑定高考分数转移系统后，我反手让她出尽风头.txt,True,False,,
148,闺蜜发照挑衅，我直接公开处刑，朋友圈杀疯了,,,C,3,1023,6.9305,20199,52397,闺蜜发照挑衅，我直接公开处刑，朋友圈杀疯了.txt,True,False,,
149,闺蜜假清高拒绝被收养，看我被八个哥哥宠上天后她悔疯了,,,A,5,16704,9.7234,11309,29983,闺蜜假清高拒绝被收养，看我被八个哥哥宠上天后她悔疯了.txt,True,False,,
150,闺蜜恐婚却恨嫁我男友,,,无信号,,,,9493,27635,闺蜜恐婚却恨嫁我男友.txt,False,False,,
151,闺蜜亲自护送健忘男友第九次领证，可我不会去了,,,无信号,,,,12444,36412,闺蜜亲自护送健忘男友第九次领证，可我不会去了.txt,False,False,,
152,贵妃想拿死胎换我，可我有婴语技能啊,,,小扑,2,979,6.8865,12793,34877,贵妃想拿死胎换我，可我有婴语技能啊.txt,True,False,,
153,过海关前被举报走私黄金，我靠弹幕反杀顶替者,,,小扑,2,979,6.8865,13914,35914,过海关前被举报走私黄金，我靠弹幕反杀顶替者.txt,True,False,,
154,过年陪回光返照的奶奶玩捉迷藏后，全家都消失了,,,无信号,,,,8765,25525,过年陪回光返照的奶奶玩捉迷藏后，全家都消失了.txt,False,False,,
155,海岛的风，倾听不了第四个人的秘密,,,小扑,2,996,6.9037,14576,41336,海岛的风，倾听不了第四个人的秘密.txt,True,False,,
156,寒窗苦读十八年，我终于和老师儿子一起毕业,,,无信号,,,,8714,25661,寒窗苦读十八年，我终于和老师儿子一起毕业.txt,False,False,,
157,寒光不照朱门客,,,小扑,2,977,6.8845,17189,48282,寒光不照朱门客.txt,True,False,,
158,寒月错望青禾,,,无信号,,,,31632,92050,寒月错望青禾.txt,False,False,,
159,豪门调包现场，我靠司命神通自救,,,无信号,,,,13394,38108,豪门调包现场，我靠司命神通自救 .txt,False,False,,
160,豪门金牌饲养员的离职报告,,,小扑,2,952,6.8586,14012,36412,豪门金牌饲养员的离职报告.txt,True,False,,
161,惊！室友举报我作弊，我都没考公你举报什么？,,,小扑,2,954,6.8607,15609,40631,惊！室友举报我作弊，我都没考公你举报什么？.txt,True,False,,
162,九尾娘娘诞下一尾幼崽后，我靠听见心声拯救小主人,,,无信号,,,,10920,31905,九尾娘娘诞下一尾幼崽后，我靠听见心声拯救小主人.txt,False,False,,
163,旧地你未出现过，我也千次万次错,,,无信号,,,,9900,29111,旧地你未出现过，我也千次万次错.txt,False,False,,
164,旧梦坠落，爱恨尽舍,,,无信号,,,,10509,30543,旧梦坠落，爱恨尽舍.txt,False,False,,
165,旧事随风渡，我自赴江鸿,,,小扑,2,954,6.8607,11791,34359,旧事随风渡，我自赴江鸿.txt,True,False,,
166,旧锁不识来时路,,,无信号,,,,10830,31234,旧锁不识来时路.txt,False,False,,
167,救了货车司机后反被他老婆污蔑停职，后来她悔疯了,,,小扑,2,951,6.8575,11243,30647,救了货车司机后反被他老婆污蔑停职，后来她悔疯了.txt,True,False,,
168,救命洋娃娃，戳穿幼师人贩子圈套,,,无信号,,,,10202,29965,救命洋娃娃，戳穿幼师人贩子圈套.txt,False,False,,
169,军校名额被顶替后，我说出了妈妈的警号,,,C,3,1023,6.9305,14040,36472,军校名额被顶替后，我说出了妈妈的警号.txt,True,False,,
170,军训被妈妈关进封闭车中后，她悔疯了,,,C,3,1038,6.9451,10523,30617,军训被妈妈关进封闭车中后，她悔疯了.txt,True,False,,
171,开学被妈妈抢走生活费后，我不要这个家了,,,小扑,2,983,6.8906,10546,30932,开学被妈妈抢走生活费后，我不要这个家了.txt,True,False,,
172,看到弹幕后，发小690上大专,,,小扑,2,994,6.9017,12401,34401,看到弹幕后，发小690上大专.txt,True,False,,
173,看到弹幕后，我改写了男频后宫文的结局,,,A,5,33483,10.4188,12171,35959,看到弹幕后，我改写了男频后宫文的结局.txt,True,False,,
174,看上支教老师了，怎么让她当我老婆？,,,小扑,2,997,6.9048,14286,36742,看上支教老师了，怎么让她当我老婆？.txt,True,False,,
175,看着红包里的区别对待，我趁全家旅游远走高飞,,,无信号,,,,12108,35511,看着红包里的区别对待，我趁全家旅游远走高飞.txt,False,False,,
176,考上北大遭继妹眼红，父亲直接废了我双腿！,,,C,3,1047,6.9537,17422,50659,考上北大遭继妹眼红，父亲直接废了我双腿！.txt,True,False,,
177,考上清大后我偷了爸妈五千块钱交学费，他们报警后悔疯了,,,S,6,102095,11.5337,11665,33443,考上清大后我偷了爸妈五千块钱交学费，他们报警后悔疯了.txt,True,False,,
178,考研失利教授男友罚背家训,,,C,3,1043,6.9499,11452,33594,考研失利教授男友罚背家训.txt,True,False,,
179,空位落满昨日尘,,,C,3,1047,6.9537,11845,34328,空位落满昨日尘.txt,True,False,,
180,苦恨年年压金线,,,小扑,2,959,6.8659,12828,37194,苦恨年年压金线.txt,True,False,,
181,老公爱上吃鸡后，我选择离婚,,,小扑,2,963,6.8701,11660,31708,老公爱上吃鸡后，我选择离婚.txt,True,False,,
182,老公爱徒污蔑我藏私，我反手送他们上路,,,无信号,,,,10090,29152,老公爱徒污蔑我藏私，我反手送他们上路.txt,False,False,,
183,老公把我的职位送给实习生后，我离婚了,,,无信号,,,,10681,30975,老公把我的职位送给实习生后，我离婚了.txt,False,False,,
184,老公半夜三点打电话让我挪车，我反手报警他杀人藏尸,,,A,5,14111,9.5547,18567,48549,老公半夜三点打电话让我挪车，我反手报警他杀人藏尸.txt,True,False,,
185,老公故意失联逼我放弃抚养权，回来后他却悔疯了,,,C,3,1027,6.9344,14112,39168,老公故意失联逼我放弃抚养权，回来后他却悔疯了.txt,True,False,,
186,老公和闺蜜阻我儿子考公路，弹幕帮我直接反杀,,,小扑,2,984,6.8916,15057,39813,老公和闺蜜阻我儿子考公路，弹幕帮我直接反杀.txt,True,False,,
187,老公联手小白花篡改病历，我靠预知弹幕杀疯了,,,小扑,2,968,6.8752,11827,33751,老公联手小白花篡改病历，我靠预知弹幕杀疯了.txt,True,False,,
188,老公拿一具死胎换走我女儿,,,A,5,10501,9.2592,10481,30624,老公拿一具死胎换走我女儿.txt,True,False,,
189,老公女秘书让我坐货梯，可我是总裁,,,无信号,,,,12499,34697,老公女秘书让我坐货梯，可我是总裁.txt,False,False,,
190,老公青梅离婚他也离，我死心离开后他哭什么,,,小扑,2,970,6.8773,11410,33044,老公青梅离婚他也离，我死心离开后他哭什么.txt,True,False,,
191,老公劝我贱卖老破小，弹幕说私生子要抢我女儿学位,,,C,3,1038,6.9451,12864,33878,老公劝我贱卖老破小，弹幕说私生子要抢我女儿学位.txt,True,False,,
192,老公让我别计较，婆婆替我计较了,,,C,3,1006,6.9137,15793,40965,老公让我别计较，婆婆替我计较了.txt,True,False,,
193,老公说结婚和恋爱择偶标准不同，我表示赞同,,,小扑,2,994,6.9017,19877,57659,老公说结婚和恋爱择偶标准不同，我表示赞同.txt,True,False,,
194,老婆带男闺蜜出国八年，我清空两千三百万账户,,,小扑,2,977,6.8845,13770,39374,老婆带男闺蜜出国八年，我清空两千三百万账户.txt,True,False,,
195,老婆绯闻对象在我家开直播冒充我，我杀疯了,,,小扑,2,982,6.8896,10916,32346,老婆绯闻对象在我家开直播冒充我，我杀疯了.txt,True,False,,
