id,title,book_id,author,tier,tier_code,reads,log_reads,nchars,bytes,file,fully_matched,ambiguous,resolve_note,ledger_idx
215,领证第27次被放鸽子后，我转身嫁给他哥,,,C,3,1008,6.9157,14073,36897,领证第27次被放鸽子后，我转身嫁给他哥.txt,True,False,,
500,预知人生后，我暴富封神,,,C,3,1026,6.9334,12434,36373,预知人生后，我暴富封神.txt,True,False,,
385,他纵容女下属羞辱妈妈后,,,C,3,1028,6.9354,12780,37010,他纵容女下属羞辱妈妈后 .txt,True,False,,
134,给婆婆养老7年她说我是好儿媳，却偷偷把金条给弟媳,,,小扑,2,998,6.9058,11639,31451,给婆婆养老7年她说我是好儿媳，却偷偷把金条给弟媳.txt,True,False,,
440,我下飞机你不愿来接我，那你就滚出我的人生吧,,,C,3,1035,6.9422,12367,34275,我下飞机你不愿来接我，那你就滚出我的人生吧.txt,True,False,,
422,我被退回了福利院,,,小扑,2,970,6.8773,15005,42049,我被退回了福利院.txt,True,False,,
506,月子期每天给我花30？复工后我彻底清醒,,,小扑,2,956,6.8628,35753,102775,月子期每天给我花30？复工后我彻底清醒 .txt,True,False,,
046,成为省状元的升学宴上，我妈报警抓了我,,,C,3,1242,7.1245,10700,31584,成为省状元的升学宴上，我妈报警抓了我.txt,True,False,,
179,空位落满昨日尘,,,C,3,1047,6.9537,11845,34328,空位落满昨日尘.txt,True,False,,
203,离开你，我的世界阳光遍地,,,C,3,1015,6.9226,13845,40261,离开你，我的世界阳光遍地 .txt,True,False,,
507,早知绊人心，何不莫相识,,,小扑,2,979,6.8865,11810,32050,早知绊人心，何不莫相识.txt,True,False,,
536,竹马班长没收我的抗抑郁药转赠班花，重生后我发疯给了他一巴掌,,,B,4,8074,8.9964,12751,32991,竹马班长没收我的抗抑郁药转赠班花，重生后我发疯给了他一巴掌.txt,True,False,,
446,我在自家公司装穷，对面的姑娘也在装,,,C,3,1406,7.2485,23811,61531,我在自家公司装穷，对面的姑娘也在装.txt,True,False,,
263,孽胎到底在谁的肚子里啊,,,小扑,2,973,6.8804,10296,28668,孽胎到底在谁的肚子里啊.txt,True,False,,
160,豪门金牌饲养员的离职报告,,,小扑,2,952,6.8586,14012,36412,豪门金牌饲养员的离职报告.txt,True,False,,
527,重来一次我同意离婚，可他怎么哭了,,,C,3,1013,6.9207,15473,44917,重来一次我同意离婚，可他怎么哭了.txt,True,False,,
278,贫困生偷走我的味觉后，我狂炫了五十几芒果,,,小扑,2,979,6.8865,9849,27343,贫困生偷走我的味觉后，我狂炫了五十几芒果.txt,True,False,,
476,药王谷出了个天生恶骨,,,小扑,2,969,6.8763,12885,37233,药王谷出了个天生恶骨.txt,True,False,,
518,侄女借口庆功拐卖我女儿，我靠预知短信端了黑窝,,,C,3,1028,6.9354,11546,31654,侄女借口庆功拐卖我女儿，我靠预知短信端了黑窝.txt,True,False,,
471,新郎为等伴娘补妆误了吉时，我不嫁了,,,B,4,6047,8.7073,18035,47301,新郎为等伴娘补妆误了吉时，我不嫁了.txt,True,False,,
339,师娘说我夫君毁她清誉，看清是谁后她悔疯了,,,C,3,1163,7.0588,11001,30607,师娘说我夫君毁她清誉，看清是谁后她悔疯了.txt,True,False,,
092,东风解我意，风止意难平,,,小扑,2,990,6.8977,10760,30930,东风解我意，风止意难平.txt,True,False,,
549,好巧，你老公跟我老公是同一个人,,:佚名 字数:10129 分类:婚姻家庭,A,5,996,6.9037,10657,30777,好巧，你老公跟我老公是同一个人.txt,True,False,,
472,新娘逃婚那天，我叫前女友来吃了席,,,B,4,8065,8.9953,18155,46046,新娘逃婚那天，我叫前女友来吃了席.txt,True,False,,
367,岁岁难自安,,,A,5,47994,10.7788,13644,39330,岁岁难自安.txt,True,False,,
363,司仪喊到第三遍的时候，我决定换个新郎,,,B,4,8224,9.0148,11819,34291,司仪喊到第三遍的时候，我决定换个新郎.txt,True,False,,
072,大姑姐问我要九十九万陪嫁，我让她滚,,,C,3,1004,6.9117,9816,28756,大姑姐问我要九十九万陪嫁，我让她滚.txt,True,False,,
577,假千金在我面前装柔弱，但我只想凭本事赢,,:好故事 字数:10894 分类:女生生活,A,5,1033,6.9402,11478,33872,假千金在我面前装柔弱，但我只想凭本事赢.txt,True,False,,
187,老公联手小白花篡改病历，我靠预知弹幕杀疯了,,,小扑,2,968,6.8752,11827,33751,老公联手小白花篡改病历，我靠预知弹幕杀疯了.txt,True,False,,
257,你就让让她,,,C,3,1008,6.9157,10753,31410,你就让让她.txt,True,False,,
304,全家说我是废物，我信了十八年,,,A,5,10569,9.2657,16421,42094,全家说我是废物，我信了十八年.txt,True,False,,
394,听到宝宝的求救后我决定先查性别,,,小扑,2,963,6.8701,10304,28524,听到宝宝的求救后我决定先查性别.txt,True,False,,
297,情侣套餐分她一半，我的未来没你一分,,,C,3,1049,6.9556,10755,31013,情侣套餐分她一半，我的未来没你一分.txt,True,False,,
380,他让我家疼他的师妹，我爸让他滚出女婿位,,,A,5,74420,11.2175,33933,87839,他让我家疼他的师妹，我爸让他滚出女婿位.txt,True,False,,
535,重生之高考围观：校花晕倒，我买瓜看戏,,,C,3,1050,6.9565,22019,56677,重生之高考围观：校花晕倒，我买瓜看戏.txt,True,False,,
027,被遗忘的第四人,,,B,4,9863,9.1965,11325,32833,被遗忘的第四人.txt,True,False,,
191,老公劝我贱卖老破小，弹幕说私生子要抢我女儿学位,,,C,3,1038,6.9451,12864,33878,老公劝我贱卖老破小，弹幕说私生子要抢我女儿学位.txt,True,False,,
283,婆婆寿宴骂我儿子是野种，我反手认下她却先疯了,,,C,3,1021,6.9285,11665,30763,婆婆寿宴骂我儿子是野种，我反手认下她却先疯了.txt,True,False,,
032,别跟逻辑怪讲人情，我专治各种不服,,,小扑,2,956,6.8628,11960,34534,别跟逻辑怪讲人情，我专治各种不服.txt,True,False,,
031,表舅让我赔表弟医药费，可我根本没见过他,,,C,3,1010,6.9177,12147,35275,表舅让我赔表弟医药费，可我根本没见过他.txt,True,False,,
220,妈妈替我记了十二年工时,,,C,3,1025,6.9324,22843,66079,妈妈替我记了十二年工时.txt,True,False,,
320,三个大佬爸爸的团宠女儿突然懂事后，他们疯了,,,小扑,2,989,6.8967,12073,33249,三个大佬爸爸的团宠女儿突然懂事后，他们疯了.txt,True,False,,
022,碑上不见旧时名,,,小扑,2,999,6.9068,13417,38367,碑上不见旧时名.txt,True,False,,
103,分手后，我取消了前女友87项自动代付功能,,,S,6,264194,12.4844,16023,40869,分手后，我取消了前女友87项自动代付功能.txt,True,False,,
398,同事蹭我车还想杀我的狗？次日我一句话群里直接炸锅,,,B,4,7680,8.9464,45500,117594,同事蹭我车还想杀我的狗？次日我一句话群里直接炸锅.txt,True,False,,
311,让你出套卷子，没让你把全省考生逼疯啊,,,A,5,85091,11.3515,13541,33774,让你出套卷子，没让你把全省考生逼疯啊.txt,True,False,,
319,三次纵容小姑子，耗尽我整场婚姻温柔,,,小扑,2,983,6.8906,25054,68484,三次纵容小姑子，耗尽我整场婚姻温柔.txt,True,False,,
144,关山雪尽不见故人,,,C,3,1048,6.9546,13829,34939,关山雪尽不见故人.txt,True,False,,
442,我用一亿买断过往后，霸总他却悔疯了,,,C,3,1002,6.9098,12171,35483,我用一亿买断过往后，霸总他却悔疯了.txt,True,False,,
008,把我送给王爷解毒后，未婚夫他悔疯了,7656616490606529560,开元寺的小公主,B,4,4010,8.2965,11936,34640,把我送给王爷解毒后，未婚夫他悔疯了.txt,True,False,,
457,嫌我妈是笨蛋美人，离婚时她抠走三层地砖！,,,B,4,7693,8.9481,27966,76858,嫌我妈是笨蛋美人，离婚时她抠走三层地砖！.txt,True,False,,
129,高考结束后，女儿说她陪我演了三年,,,C,3,1005,6.9127,11675,33835,高考结束后，女儿说她陪我演了三年.txt,True,False,,
239,奶奶绑定容貌转移系统，升学宴我让她把偷我的还给我,,,C,3,1037,6.9441,14978,43062,奶奶绑定容貌转移系统，升学宴我让她把偷我的还给我.txt,True,False,,
370,碎玻璃拼不出满月,,,小扑,2,957,6.8638,13175,38261,碎玻璃拼不出满月.txt,True,False,,
501,遇上倔驴贫困生后，吃尽时代红利的行政老师崩溃了,,,C,3,1036,6.9431,8991,26465,遇上倔驴贫困生后，吃尽时代红利的行政老师崩溃了.txt,True,False,,
300,全公司都知道裁员是假的，除了我,,,A,5,57569,10.9607,17229,43033,全公司都知道裁员是假的，除了我.txt,True,False,,
450,无情道大成后，我亲手劈了恋爱脑徒弟,,,小扑,2,952,6.8586,10827,31457,无情道大成后，我亲手劈了恋爱脑徒弟.txt,True,False,,
071,大姑姐拖家八口避暑，我直接交手机进修让老公接待,,,A,5,11619,9.3604,41627,108801,大姑姐拖家八口避暑，我直接交手机进修让老公接待.txt,True,False,,
360,双重背叛，我选择翻篇,,,C,3,1042,6.9489,12349,35379,双重背叛，我选择翻篇.txt,True,False,,
147,闺蜜绑定高考分数转移系统后，我反手让她出尽风头,,,小扑,2,992,6.8997,13775,36615,闺蜜绑定高考分数转移系统后，我反手让她出尽风头.txt,True,False,,
069,打错彩票后，表姐让我赔一百万,,,C,3,1307,7.1755,10313,28529,打错彩票后，表姐让我赔一百万.txt,True,False,,
088,低于五位数的转账，到底该怎么花啊,,,小扑,2,960,6.8669,17918,52484,低于五位数的转账，到底该怎么花啊.txt,True,False,,
241,男同学造谣我老婆骚扰，教室录音让他当场社死,,,小扑,2,975,6.8824,14769,38743,男同学造谣我老婆骚扰，教室录音让他当场社死.txt,True,False,,
357,叔嫌饭慢爸扇妈十巴掌，我搬起砖头后全家慌了,,,C,3,1360,7.2152,41067,105715,叔嫌饭慢爸扇妈十巴掌，我搬起砖头后全家慌了.txt,True,False,,
250,男友装穷骗我，我利用他跨越阶级,,,B,4,8387,9.0344,13676,36990,男友装穷骗我，我利用他跨越阶级.txt,True,False,,
322,嫂子买通月嫂换子，我靠弹幕撕开亲子骗局,,,小扑,2,987,6.8947,10943,29023,嫂子买通月嫂换子，我靠弹幕撕开亲子骗局.txt,True,False,,
123,刚被新院长贬职，回家他竟成了我的相亲对象,,,小扑,2,994,6.9017,28947,83765,刚被新院长贬职，回家他竟成了我的相亲对象.txt,True,False,,
247,男友为避嫌和闺蜜坐一起，离开他悔疯了,,,C,3,2089,7.6444,10628,30764,男友为避嫌和闺蜜坐一起，离开他悔疯了.txt,True,False,,
330,舍友造谣我女儿校园霸凌，宿舍录音对她公开处刑,,,C,3,1021,6.9285,13429,38819,舍友造谣我女儿校园霸凌，宿舍录音对她公开处刑.txt,True,False,,
040,曾为你画地为牢,,,小扑,2,963,6.8701,21507,62486,曾为你画地为牢.txt,True,False,,
347,世子妃不争不抢，好孕外室气疯了,,,小扑,2,965,6.8721,11409,33247,世子妃不争不抢，好孕外室气疯了.txt,True,False,,
197,老婆破产后，全城等着看我跑路,,,C,3,1119,7.0202,17557,45715,老婆破产后，全城等着看我跑路.txt,True,False,,
079,当东北真千金遇上自闭症假千金,,,小扑,2,991,6.8987,12129,31167,当东北真千金遇上自闭症假千金.txt,True,False,,
392,堂弟用我名订了52桌，我让酒店报警,,,C,3,1028,6.9354,20105,51641,堂弟用我名订了52桌，我让酒店报警.txt,True,False,,
405,惟愿今生安,,,A,5,13177,9.4862,29924,80364,惟愿今生安.txt,True,False,,
113,风雨无你终别离,,,C,3,1016,6.9236,10822,30816,风雨无你终别离.txt,True,False,,
368,岁岁无君亦无晴,,,C,3,1003,6.9108,10757,31085,岁岁无君亦无晴.txt,True,False,,
335,胜率97%的女友，为我打输了唯一一场官司,,,C,3,1021,6.9285,16886,49177,胜率97%的女友，为我打输了唯一一场官司.txt,True,False,,
280,婆婆包了韭菜鸡蛋馅的饺子，我吃完后她崩溃了,,,S,6,127946,11.7594,41245,107741,婆婆包了韭菜鸡蛋馅的饺子，我吃完后她崩溃了.txt,True,False,,
361,说我要和假千金雌竞？不好意思我是姐宝女,,,C,3,1898,7.5486,16915,49301,说我要和假千金雌竞？不好意思我是姐宝女.txt,True,False,,
001,1800机票不批让我坐高铁，8400万废标后董事长怒了,7664814742925511742,月落唔地,小扑,2,981,6.8886,11417,30541,1800机票不批让我坐高铁，8400万废标后董事长怒了.txt,True,False,,
498,雨停了，就别再找我,,,小扑,2,974,6.8814,10943,32017,雨停了，就别再找我.txt,True,False,,
482,一个人的旅途，云月共赏,,,B,4,6253,8.7408,16100,45086,一个人的旅途，云月共赏.txt,True,False,,
555,侯府上下合谋换我儿，我亲手送他们流放,,:好故事 字数:15332 分类:古风世情,A,5,957,6.8638,17535,48199,侯府上下合谋换我儿，我亲手送他们流放.txt,True,False,,
122,干女儿让我立下遗嘱，才能怀孕生自己的孩子,,,C,3,1045,6.9518,11101,32535,干女儿让我立下遗嘱，才能怀孕生自己的孩子.txt,True,False,,
582,接亲当天，婚车先接了青梅，我取消了婚礼,,:谓我oqo 字数:13703 分类:青春虐恋,A,5,1024,6.9315,10696,30806,接亲当天，婚车先接了青梅，我取消了婚礼.txt,True,False,,
529,重生后，我当着全校面撕了校草的深情剧本,,,C,3,1030,6.9373,11695,31067,重生后，我当着全校面撕了校草的深情剧本.txt,True,False,,
551,喝了我家五年免费汤，她侄女带人查封我家面馆,,:波加一 字数:13618 分类:婚姻家庭,A,5,1029,6.9363,16910,44104,喝了我家五年免费汤，她侄女带人查封我家面馆.txt,True,False,,
099,飞鸟已乘风，不候迟来人,,,小扑,2,990,6.8977,11769,34351,飞鸟已乘风，不候迟来人.txt,True,False,,
009,爸爸为私生女改我志愿，我反手让她退档,7660026444625529881,暮林烟,C,3,1047,6.9537,12037,32245,爸爸为私生女改我志愿，我反手让她退档.txt,True,False,,
195,老婆绯闻对象在我家开直播冒充我，我杀疯了,,,小扑,2,982,6.8896,10916,32346,老婆绯闻对象在我家开直播冒充我，我杀疯了.txt,True,False,,
355,首富爸妈想换我一个肾给病弱假千金，可我是僵尸没肾给,,,C,3,1047,6.9537,13781,39595,首富爸妈想换我一个肾给病弱假千金，可我是僵尸没肾给 .txt,True,False,,
296,清冷禁欲的霸总老公失忆后，我带着千万资产带球跑了,,,C,3,1018,6.9256,17347,46805,清冷禁欲的霸总老公失忆后，我带着千万资产带球跑了.txt,True,False,,
298,请为自己勇敢千千万万次,,,C,3,1004,6.9117,11632,33724,请为自己勇敢千千万万次.txt,True,False,,
048,成为植物人后，听到老公的心里话，我重生了,,,C,3,1027,6.9344,12245,35143,成为植物人后，听到老公的心里话，我重生了.txt,True,False,,
530,重生后，我揪出谋害嫡妹的犯人,,,C,3,1078,6.9829,10901,29529,重生后，我揪出谋害嫡妹的犯人.txt,True,False,,
531,重生后，我抢回金锁去认亲,,,C,3,1000,6.9078,10668,31457,重生后，我抢回金锁去认亲.txt,True,False,,
125,高考报考院校以彩礼为基准,,,C,3,1006,6.9137,16961,44773,高考报考院校以彩礼为基准.txt,True,False,,
094,儿子被诬陷偷窃开除，我把污蔑者告到痛哭流涕,,,小扑,2,999,6.9068,11186,32202,儿子被诬陷偷窃开除，我把污蔑者告到痛哭流涕.txt,True,False,,
035,不帮同事保管报销单后，污蔑我偷发票的实习生悔疯了,,,小扑,2,968,6.8752,10587,30587,不帮同事保管报销单后，污蔑我偷发票的实习生悔疯了.txt,True,False,,
080,当红小花抱着影帝家的狗子装它妈，那我是谁？,,,C,3,1036,6.9431,11106,32400,当红小花抱着影帝家的狗子装它妈，那我是谁？.txt,True,False,,
374,他的爱，晚于我的告别,,,C,3,1004,6.9117,19433,56417,他的爱，晚于我的告别.txt,True,False,,
387,她决定不离婚之后,,,C,3,1097,7.0003,11769,32651,她决定不离婚之后.txt,True,False,,
116,浮梦散尽，从此山水不相逢,,,小扑,2,959,6.8659,12444,36798,浮梦散尽，从此山水不相逢.txt,True,False,,
447,我终于上了家里的账本：担保人,,,小扑,2,988,6.8957,13061,38205,我终于上了家里的账本：担保人.txt,True,False,,
496,余烬不覆雪,,,小扑,2,983,6.8906,11636,32955,余烬不覆雪.txt,True,False,,
308,缺席了我人生二十年的公平，我不要了,,,C,3,1919,7.5596,10671,30695,缺席了我人生二十年的公平，我不要了.txt,True,False,,
327,舍友让我八点前回宿舍，我没回去，她们死了,,,小扑,2,991,6.8987,9923,29011,舍友让我八点前回宿舍，我没回去，她们死了.txt,True,False,,
206,邻居阿姨造谣我爸偷看她洗澡，重生后我杀疯了,,,小扑,2,972,6.8794,12330,36419,邻居阿姨造谣我爸偷看她洗澡，重生后我杀疯了.txt,True,False,,
408,为了拯救大自然，圣母室友在40度高温天剪了空调线,,,C,3,1042,6.9489,13516,39303,为了拯救大自然，圣母室友在40度高温天剪了空调线.txt,True,False,,
193,老公说结婚和恋爱择偶标准不同，我表示赞同,,,小扑,2,994,6.9017,19877,57659,老公说结婚和恋爱择偶标准不同，我表示赞同.txt,True,False,,
573,继承了爷爷留下的十八条老狗后，我暴富了,,:怦怦晚风 字数:18345 分类:婚姻家庭,A,5,964,6.8711,11970,35406,继承了爷爷留下的十八条老狗后，我暴富了.txt,True,False,,
510,丈夫说他重生了要离婚，我立马就拿钱带球跑,,,C,3,1022,6.9295,16873,49095,丈夫说他重生了要离婚，我立马就拿钱带球跑.txt,True,False,,
120,父亲出殡，丈夫为青梅误吉时，我扶灵上山就离婚,,,小扑,2,950,6.8565,11615,31993,父亲出殡，丈夫为青梅误吉时，我扶灵上山就离婚.txt,True,False,,
349,室友爸妈想鸠占鹊巢，我反手叫来了帽子叔叔,,,小扑,2,977,6.8845,9740,28877,室友爸妈想鸠占鹊巢，我反手叫来了帽子叔叔.txt,True,False,,
305,全家问斩，我爹狂爆家丑卡诛九族，皇帝当场听懵了,,,C,3,1013,6.9207,37573,96235,全家问斩，我爹狂爆家丑卡诛九族，皇帝当场听懵了.txt,True,False,,
378,他赶来时春已晚,,,C,3,1031,6.9383,11761,31777,他赶来时春已晚.txt,True,False,,
429,我和妹妹的团购券到底被谁用了,,,B,4,3146,8.0539,11936,31804,我和妹妹的团购券到底被谁用了.txt,True,False,,
438,我是国家二级运动员，就活该替闺蜜挡灾？,,,C,3,1018,6.9256,13463,39319,我是国家二级运动员，就活该替闺蜜挡灾？.txt,True,False,,
171,开学被妈妈抢走生活费后，我不要这个家了,,,小扑,2,983,6.8906,10546,30932,开学被妈妈抢走生活费后，我不要这个家了.txt,True,False,,
054,穿不上的婚纱，我不穿了,,,C,3,1036,6.9431,13983,38183,穿不上的婚纱，我不穿了.txt,True,False,,
209,邻居让我帮忙提婴儿车，弹幕却让我别碰,,,A,5,50124,10.8223,17632,48038,邻居让我帮忙提婴儿车，弹幕却让我别碰.txt,True,False,,
310,让给妹妹二十年，我终于赎回我的黎明,,,小扑,2,993,6.9007,11412,31328,让给妹妹二十年，我终于赎回我的黎明.txt,True,False,,
248,男友遗言留给闺蜜，我不再追着他走,,,C,3,1014,6.9217,10912,31480,男友遗言留给闺蜜，我不再追着他走.txt,True,False,,
565,婚礼大屏播放骗婚录音，我当众悔婚，渣男滚！,,:爱吃冰激凌的雪糕 字数:24340 分类:女生生活,A,5,974,6.8814,28790,77470,婚礼大屏播放骗婚录音，我当众悔婚，渣男滚！.txt,True,False,,
181,老公爱上吃鸡后，我选择离婚,,,小扑,2,963,6.8701,11660,31708,老公爱上吃鸡后，我选择离婚.txt,True,False,,
042,朝曦不借晚星光,,,C,3,1042,6.9489,15271,43878,朝曦不借晚星光.txt,True,False,,
255,你的不要，是别人的刚好,,,C,3,1048,6.9546,14530,42037,你的不要，是别人的刚好.txt,True,False,,
537,竹马骗我一起报二本，可开学那天他去了首都名校,,,小扑,2,992,6.8997,12601,36839,竹马骗我一起报二本，可开学那天他去了首都名校.txt,True,False,,
421,我爸借堂哥五万承包食堂，三年后堂哥骂他不要脸,,,C,3,1029,6.9363,19178,50042,我爸借堂哥五万承包食堂，三年后堂哥骂他不要脸.txt,True,False,,
210,邻居偷接电表害死我妈，三十年后我停了他家拆迁款,,,C,3,1024,6.9315,9333,27352,邻居偷接电表害死我妈，三十年后我停了他家拆迁款.txt,True,False,,
585,金主让耳根子软的我去相亲后，我成了千万富婆,,:树莓花 字数:13992 分类:现言甜宠,A,5,986,6.8937,14623,43202,金主让耳根子软的我去相亲后，我成了千万富婆.txt,True,False,,
